price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
11.21,1.89,Cerveza Heineken Lager pack de 18 latas de 33 cl.,No promotion,Heineken Lager,lata,33 cl,18,https://static.carrefour.es/hd_280x_/img_pim_food/516671_00_1.jpg,Carrefour
14.8,1.6,Cerveza Cruzcampo Pilsen pack de 28 latas de 33 cl.,No promotion,Cruzcampo Pilsen,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185116_00_1.jpg,Carrefour
5.15,1.56,Cerveza El Aguila pack de 10 latas de 33 cl.,No promotion,El Aguila,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/242546_00_1.jpg,Carrefour
0.25,0.76,Cerveza Carrefour Holandesa lata 33 cl.,No promotion,Carrefour Holandesa,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/228844_00_1.jpg,Carrefour
14.15,1.53,Cerveza Mahou Clásica pack de 28 latas de 33 cl.,No promotion,Mahou Clásica,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718559_00_1.jpg,Carrefour
11.7,1.95,Cerveza Estrella Galicia especial pack de 24 botellas de 25 cl.,No promotion,Estrella Galicia especial,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/345037_00_1.jpg,Carrefour
15.69,1.7,Cerveza Mahou 5 Estrellas especial pack de 28 latas de 33 cl.,No promotion,Mahou 5 Estrellas especial,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718560_00_1.jpg,Carrefour
6.41,1.94,Cerveza Estrella Galicia especial pack de 10 latas de 33 cl.,No promotion,Estrella Galicia especial,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/560160_00_1.jpg,Carrefour
6.72,1.7,Cerveza Mahou Clásica pack de 12 latas de 33 cl.,Feliz Aniversario,Mahou Clásica,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/403267_00_1.jpg,Carrefour
6.75,1.7,"Cerveza Mahou 0,0 sin alcohol tostada pack de 12 latas de 33 cl.",No promotion,"Mahou 0,0 sin alcohol tostada",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/124582_00_1.jpg,Carrefour
7.08,1.79,Cerveza Mahou 5 Estrellas especial pack de 12 latas de 33 cl.,No promotion,Mahou 5 Estrellas especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/420207_00_1.jpg,Carrefour
12.7,3.21,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,No promotion,Alhambra Reserva 1925,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/587130_00_1.jpg,Carrefour
8.5,2.12,Cerveza Estrella Galicia especial pack de 20 botellas de 20 cl.,No promotion,Estrella Galicia especial,botella,20 cl,20,https://static.carrefour.es/hd_280x_/img_pim_food/499114_00_1.jpg,Carrefour
3.36,0.85,Cerveza Carrefour Especial pack de 12 latas de 33 cl.,No promotion,Carrefour Especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/284029_00_1.jpg,Carrefour
6.48,1.64,Cerveza San Miguel especial Lager pack de 12 latas de 33 cl.,2ª al -50%,San Miguel especial Lager,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/198978_00_1.jpg,Carrefour
6.21,1.57,Cerveza Amstel Radler con limón pack de 12 latas de 33 cl.,No promotion,Amstel Radler con limón,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/958874_00_1.jpg,Carrefour
7.36,1.86,Cerveza Heineken Lager pack de 12 latas de 33 cl.,No promotion,Heineken Lager,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/537792_00_1.jpg,Carrefour
11.4,2.88,Cerveza 1906 reserva especial pack de 12 botellas 33 cl.,Feliz Aniversario,1906 reserva especial,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/771393_00_1.jpg,Carrefour
6.48,1.64,"Cerveza San Miguel 0,0 sin alcohol Lager pack de 12 latas de 33 cl.",2ª al -50%,"San Miguel 0,0 sin alcohol Lager",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/646833_00_1.jpg,Carrefour
14.38,1.56,Cerveza Amstel 100% malta pack de 28 latas de 33 cl.,No promotion,Amstel 100% malta,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185128_00_1.jpg,Carrefour
3.0,2.0,Cerveza Estrella Galicia especial pack de 6 latas de 25 cl.,Feliz Aniversario,Estrella Galicia especial,lata,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/640535_00_1.jpg,Carrefour
