price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
6.72,1.7,MAHOU CLASICA cerveza rubia original pack 12 latas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,lata,33 cl,12,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300364____6__325x325.jpg,El Corte Ingles
14.84,1.61,MAHOU CLASICA cerveza rubia original pack 28 latas 33 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!..SECOND OFFERT: 21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,lata,33 cl,28,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301222____6__325x325.jpg,El Corte Ingles
5.0,1.67,MAHOU CLASICA cerveza rubia original pack 12 botellas 25 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!..SECOND OFFERT: 21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,botella,25 cl,12,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200653____5__325x325.jpg,El Corte Ingles
1.37,1.37,MAHOU CLASICA cerveza rubia original botella 1 l ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,botella,1 l ,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200562____3__325x325.jpg,El Corte Ingles
2.68,1.79,MAHOU CLASICA cerveza rubia original pack 6 botellas 25 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,botella,25 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200588____5__325x325.jpg,El Corte Ingles
0.58,1.76,MAHOU CLASICA cerveza rubia original lata 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,lata,33 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300356____2__325x325.jpg,El Corte Ingles
0.79,1.58,MAHOU CLASICA cerveza rubia original lata 50 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,lata,50 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301214____1__325x325.jpg,El Corte Ingles
9.86,1.64,MAHOU CLASICA cerveza rubia original pack 24 botellas 25 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU CLASICA ,botella,25 cl,24,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00200502200645____5__325x325.jpg,El Corte Ingles
7.92,2.0,MAHOU 5 ESTRELLAS cerveza rubia especial pack 12 latas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU 5 ESTRELLAS ,lata,33 cl,12,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300372____7__325x325.jpg,El Corte Ingles
15.99,1.73,MAHOU 5 ESTRELLAS cerveza rubia especial pack 28 latas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,MAHOU 5 ESTRELLAS ,lata,33 cl,28,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301347____2__325x325.jpg,El Corte Ingles
