price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
8.99,1.51,Cerveza Heineken Lager pack de 18 latas de 33 cl.,No promotion,heineken lager,lata,33 cl,18,https://static.carrefour.es/hd_280x_/img_pim_food/516671_00_1.jpg,Carrefour
14.28,1.55,Cerveza Cruzcampo Pilsen pack de 28 latas de 33 cl.,2ª al -50%,cruzcampo pilsen,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185116_00_1.jpg,Carrefour
0.25,0.76,Cerveza Carrefour Holandesa lata 33 cl.,No promotion,carrefour holandesa,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/228844_00_1.jpg,Carrefour
10.64,1.15,Cerveza Mahou Clásica pack de 28 latas de 33 cl.,No promotion,mahou clásica,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718559_00_1.jpg,Carrefour
11.7,1.95,Cerveza Estrella Galicia especial pack de 24 botellas de 25 cl.,No promotion,estrella galicia especial,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/345037_00_1.jpg,Carrefour
6.41,1.94,Cerveza Estrella Galicia especial pack de 10 latas de 33 cl.,No promotion,estrella galicia especial,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/560160_00_1.jpg,Carrefour
6.72,1.7,Cerveza Mahou Clásica pack de 12 latas de 33 cl.,No promotion,mahou clásica,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/403267_00_1.jpg,Carrefour
15.69,1.7,Cerveza Mahou 5 Estrellas especial pack de 28 latas de 33 cl.,No promotion,mahou 5 estrellas especial,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718560_00_1.jpg,Carrefour
6.75,1.7,"Cerveza Mahou 0,0 sin alcohol tostada pack de 12 latas de 33 cl.",No promotion,"mahou 0,0 sin alcohol tostada",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/124582_00_1.jpg,Carrefour
7.08,1.79,Cerveza Mahou 5 Estrellas especial pack de 12 latas de 33 cl.,No promotion,mahou 5 estrellas especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/420207_00_1.jpg,Carrefour
5.51,1.39,Cerveza San Miguel especial Lager pack de 12 latas de 33 cl.,No promotion,san miguel especial lager,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/198978_00_1.jpg,Carrefour
3.36,0.85,Cerveza Carrefour Especial pack de 12 latas de 33 cl.,2ª al -50%,carrefour especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/284029_00_1.jpg,Carrefour
3.2,2.13,Cerveza Estrella Galicia especial pack de 6 latas de 25 cl.,No promotion,estrella galicia especial,lata,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/640535_00_1.jpg,Carrefour
11.47,2.9,Cerveza 1906 reserva especial pack de 12 botellas 33 cl.,No promotion,1906 reserva especial,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/771393_00_1.jpg,Carrefour
12.7,3.21,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,No promotion,alhambra reserva 1925,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/587130_00_1.jpg,Carrefour
14.28,1.55,Cerveza Amstel 100% malta pack de 28 latas de 33 cl.,Cupón 50%,amstel 100% malta,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185128_00_1.jpg,Carrefour
8.5,2.12,Cerveza Estrella Galicia especial pack de 20 botellas de 20 cl.,No promotion,estrella galicia especial,botella,20 cl,20,https://static.carrefour.es/hd_280x_/img_pim_food/499114_00_1.jpg,Carrefour
6.21,1.57,Cerveza Amstel Radler con limón pack de 12 latas de 33 cl.,No promotion,amstel radler con limón,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/958874_00_1.jpg,Carrefour
