price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,id
11.21,1.89,Cerveza Heineken Lager pack de 18 latas de 33 cl.,No promotion,heineken,lata,33 cl,18,https://static.carrefour.es/hd_280x_/img_pim_food/516671_00_1.jpg,Carrefour,0
14.8,1.6,Cerveza Cruzcampo Pilsen pack de 28 latas de 33 cl.,No promotion,cruzcampo,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185116_00_1.jpg,Carrefour,1
5.15,1.56,Cerveza El Aguila pack de 10 latas de 33 cl.,No promotion,el águila,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/242546_00_1.jpg,Carrefour,2
0.25,0.76,Cerveza Carrefour Holandesa lata 33 cl.,No promotion,carrefour,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/228844_00_1.jpg,Carrefour,3
14.15,1.53,Cerveza Mahou Clásica pack de 28 latas de 33 cl.,No promotion,mahou clasica,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718559_00_1.jpg,Carrefour,4
11.7,1.95,Cerveza Estrella Galicia especial pack de 24 botellas de 25 cl.,No promotion,estrella galicia,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/345037_00_1.jpg,Carrefour,5
6.41,1.94,Cerveza Estrella Galicia especial pack de 10 latas de 33 cl.,No promotion,estrella galicia,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/560160_00_1.jpg,Carrefour,6
6.72,1.7,Cerveza Mahou Clásica pack de 12 latas de 33 cl.,Feliz Aniversario,mahou clasica,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/403267_00_1.jpg,Carrefour,7
15.69,1.7,Cerveza Mahou 5 Estrellas especial pack de 28 latas de 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718560_00_1.jpg,Carrefour,8
6.75,1.7,"Cerveza Mahou 0,0 sin alcohol tostada pack de 12 latas de 33 cl.",No promotion,"mahou sin alcohol 0,0%",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/124582_00_1.jpg,Carrefour,9
7.08,1.79,Cerveza Mahou 5 Estrellas especial pack de 12 latas de 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/420207_00_1.jpg,Carrefour,10
12.7,3.21,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,No promotion,alhambra 1925,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/587130_00_1.jpg,Carrefour,11
3.36,0.85,Cerveza Carrefour Especial pack de 12 latas de 33 cl.,No promotion,carrefour especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/284029_00_1.jpg,Carrefour,12
6.48,1.64,Cerveza San Miguel especial Lager pack de 12 latas de 33 cl.,2ª al -50%,san miguel,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/198978_00_1.jpg,Carrefour,13
8.5,2.12,Cerveza Estrella Galicia especial pack de 20 botellas de 20 cl.,No promotion,estrella galicia,botella,20 cl,20,https://static.carrefour.es/hd_280x_/img_pim_food/499114_00_1.jpg,Carrefour,14
11.4,2.88,Cerveza 1906 reserva especial pack de 12 botellas 33 cl.,Feliz Aniversario,estrella galicia 1906,botella,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/771393_00_1.jpg,Carrefour,15
3.0,2.0,Cerveza Estrella Galicia especial pack de 6 latas de 25 cl.,Feliz Aniversario,estrella galicia,lata,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/640535_00_1.jpg,Carrefour,16
7.36,1.86,Cerveza Heineken Lager pack de 12 latas de 33 cl.,No promotion,heineken,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/537792_00_1.jpg,Carrefour,17
6.48,1.64,"Cerveza San Miguel 0,0 sin alcohol Lager pack de 12 latas de 33 cl.",2ª al -50%,"san miguel sin alcohol 0,0%",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/646833_00_1.jpg,Carrefour,18
6.21,1.57,Cerveza Amstel Radler con limón pack de 12 latas de 33 cl.,No promotion,amstel radler,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/958874_00_1.jpg,Carrefour,19
14.38,1.56,Cerveza Amstel 100% malta pack de 28 latas de 33 cl.,No promotion,amstel original,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185128_00_1.jpg,Carrefour,20
1.08,2.16,Cerveza Franziskaner Sefe-Weissbier botella 50 cl.,No promotion,franziskaner,botella,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/007773_00_1.jpg,Carrefour,21
5.98,1.99,Cerveza Mahou 5 Estrellas especial pack de 12 botellas de 25 cl.,No promotion,mahou 5 estrellas,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/523315_00_1.jpg,Carrefour,22
9.39,1.57,Cerveza Cruzcampo Pilsen pack de 24 botellas de 25 cl.,No promotion,cruzcampo,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/000147_00_1.jpg,Carrefour,23
3.59,2.85,Cerveza Coronita pack de 6 botellas de 21 cl.,Feliz Aniversario,coronita,botella,21 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/197503_00_1.jpg,Carrefour,24
0.63,1.91,"Cerveza Mahou 0,0 sin alcohol tostada lata 33 cl.",No promotion,"mahou sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/345280_00_1.jpg,Carrefour,25
1.35,2.7,Cerveza rubia Paulaner Weissbier botella 50 cl.,No promotion,paulaner,botella,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/026596_00_1.jpg,Carrefour,26
6.58,3.32,Cerveza Alhambra Reserva 1925 pack de 6 botellas de 33 cl.,No promotion,alhambra 1925,botella,33 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/272331_00_1.jpg,Carrefour,27
3.25,2.17,"Cerveza Mahou 0,0 sin alcohol tostada pack de 6 botellas de 25 cl.",Feliz Aniversario,"mahou sin alcohol 0,0%",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/273908_00_1.jpg,Carrefour,28
8.83,2.23,Cerveza Voll Damm doble malta pack de 12 latas de 33 cl.,No promotion,voll-damm,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/583640_00_1.jpg,Carrefour,29
5.88,1.96,Cerveza Estrella Damm mediterránea pack de 12 botellas de 25 cl.,No promotion,estrella damm,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/152758_00_1.jpg,Carrefour,30
11.95,1.99,Cerveza Mahou 5 Estrellas especial pack de 24 botellas de 25 cl.,No promotion,mahou 5 estrellas,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/760660_00_1.jpg,Carrefour,31
0.22,0.67,Cerveza Koenigsbier 4% lata 33 cl. ,No promotion,koenigsbier,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/102681_00_1.jpg,Carrefour,32
6.9,2.09,Cerveza Amstel Oro tostada pack de 10 latas de 33 cl.,No promotion,amstel oro,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/242540_00_1.jpg,Carrefour,33
0.79,1.58,Cerveza Mahou 5 Estrellas especial lata 50 cl.,No promotion,mahou 5 estrellas,lata,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/029129_00_1.jpg,Carrefour,34
7.67,1.94,"Cerveza Heineken Lager 0,0 sin alcohol pack de 12 latas de 33 cl.",Feliz Aniversario,"heineken sin alcohol 0,0%",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/864274_00_1.jpg,Carrefour,35
