price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
6.72,1.7,mahou clasica cerveza rubia original pack 12 latas 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,lata,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300364____6__325x325.jpg,El Corte Ingles
14.84,1.61,mahou clasica cerveza rubia original pack 28 latas 33 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!..SECOND OFFERT: 25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,lata,33 cl,28,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301222____6__325x325.jpg,El Corte Ingles
4.85,1.62,mahou clasica cerveza rubia original pack 12 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200653____5__325x325.jpg,El Corte Ingles
1.37,1.37,mahou clasica cerveza rubia original botella 1 l ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,botella,1 l,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200562____3__325x325.jpg,El Corte Ingles
2.68,1.79,mahou clasica cerveza rubia original pack 6 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200588____5__325x325.jpg,El Corte Ingles
0.58,1.76,mahou clasica cerveza rubia original lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300356____2__325x325.jpg,El Corte Ingles
0.79,1.58,mahou clasica cerveza rubia original lata 50 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,lata,50 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301214____1__325x325.jpg,El Corte Ingles
9.86,1.64,mahou clasica cerveza rubia original pack 24 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou clasica ,botella,25 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00200502200645____5__325x325.jpg,El Corte Ingles
7.92,2.0,mahou 5 estrellas cerveza rubia especial pack 12 latas 33 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!..SECOND OFFERT: 25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,lata,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300372____7__325x325.jpg,El Corte Ingles
15.99,1.73,mahou 5 estrellas cerveza rubia especial pack 28 latas 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,lata,33 cl,28,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301347____2__325x325.jpg,El Corte Ingles
6.61,2.2,mahou 5 estrellas cerveza rubia especial pack 12 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201903/06/00118602200992____8__40x40.jpg,El Corte Ingles
12.35,2.06,mahou 5 estrellas cerveza rubia especial pack 24 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,botella,25 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201903/06/00118602202766____12__40x40.jpg,El Corte Ingles
3.09,2.06,mahou 5 estrellas cerveza rubia especial pack 6 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201903/06/00118602200596____8__40x40.jpg,El Corte Ingles
0.68,2.06,mahou 5 estrellas cerveza rubia especial lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300380____1__40x40.jpg,El Corte Ingles
0.69,2.09,mahou 5 estrellas cerveza rubia especial sin gluten lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118651000012____2__40x40.jpg,El Corte Ingles
0.91,1.82,mahou 5 estrellas cerveza rubia especial lata 50 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,lata,50 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300463____3__40x40.jpg,El Corte Ingles
0.96,2.91,mahou 5 estrellas cerveza rubia especial sin gluten botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou 5 estrellas ,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/18/00118651000020____3__40x40.jpg,El Corte Ingles
6.48,1.64,san miguel cerveza rubia premium especial pack 12 latas 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,lata,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201907/31/00118600300109____2__40x40.jpg,El Corte Ingles
5.25,1.75,san miguel cerveza rubia premium especial pack 12 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201508/18/00200502200116____1__40x40.jpg,El Corte Ingles
14.1,1.78,san miguel cerveza rubia premium especial pack 24 latas 33 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!..SECOND OFFERT: 25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,lata,33 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201907/31/00118600301610____1__40x40.jpg,El Corte Ingles
2.7,1.8,san miguel cerveza rubia premium especial pack 6 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201508/18/00200502200066____1__40x40.jpg,El Corte Ingles
0.56,1.7,san miguel cerveza rubia premium especial lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201907/31/00118600300083____3__40x40.jpg,El Corte Ingles
