price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
8.99,1.51,Cerveza Heineken Lager pack de 18 latas de 33 cl.,No promotion,heineken,lata,33 cl,18,https://static.carrefour.es/hd_280x_/img_pim_food/516671_00_1.jpg,Carrefour,no,0,others
14.28,1.55,Cerveza Cruzcampo Pilsen pack de 28 latas de 33 cl.,2ª al -50%,cruzcampo,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/185116_00_1.jpg,Carrefour,yes,1,others
5.15,1.56,Cerveza El Aguila pack de 10 latas de 33 cl.,No promotion,el águila,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/242546_00_1.jpg,Carrefour,no,2,others
0.25,0.76,Cerveza Carrefour Holandesa lata 33 cl.,3x2,carrefour,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/228844_00_1.jpg,Carrefour,yes,3,others
10.64,1.15,Cerveza Mahou Clásica pack de 28 latas de 33 cl.,No promotion,mahou clasica,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718559_00_1.jpg,Carrefour,no,4,others
11.7,1.95,Cerveza Estrella Galicia especial pack de 24 botellas de 25 cl.,No promotion,estrella galicia,botella,25 cl,24,https://static.carrefour.es/hd_280x_/img_pim_food/345037_00_1.jpg,Carrefour,no,5,others
6.41,1.94,Cerveza Estrella Galicia especial pack de 10 latas de 33 cl.,No promotion,estrella galicia,lata,33 cl,10,https://static.carrefour.es/hd_280x_/img_pim_food/560160_00_1.jpg,Carrefour,no,6,others
6.72,1.7,Cerveza Mahou Clásica pack de 12 latas de 33 cl.,No promotion,mahou clasica,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/403267_00_1.jpg,Carrefour,no,7,others
15.69,1.7,Cerveza Mahou 5 Estrellas especial pack de 28 latas de 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718560_00_1.jpg,Carrefour,no,8,others
3.36,0.85,Cerveza Carrefour Especial pack de 12 latas de 33 cl.,2ª al -50%,carrefour especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/284029_00_1.jpg,Carrefour,yes,9,others
6.75,1.7,"Cerveza Mahou 0,0 sin alcohol tostada pack de 12 latas de 33 cl.",No promotion,"mahou sin alcohol (0,0%)",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/124582_00_1.jpg,Carrefour,no,10,sin alcohol 
3.2,2.13,Cerveza Estrella Galicia especial pack de 6 latas de 25 cl.,No promotion,estrella galicia,lata,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/640535_00_1.jpg,Carrefour,no,11,others
5.51,1.39,Cerveza San Miguel especial Lager pack de 12 latas de 33 cl.,No promotion,san miguel,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/198978_00_1.jpg,Carrefour,no,12,others
7.92,2.0,Cerveza Mahou 5 Estrellas especial pack de 12 latas de 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/420207_00_1.jpg,Carrefour,no,13,others
