price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
12.59,1.58,"Cerveza SAN MIGUEL, pack lata 24x33 cl",No promotion,SAN MIGUEL,lata,33 cl,24,Not image,Eroski
6.47,1.64,"Cerveza SAN MIGUEL, pack lata 12x33 cl",No promotion,SAN MIGUEL,lata,33 cl,12,Not image,Eroski
6.72,1.7,"Cerveza MAHOU Clásica, pack 12x33 cl",No promotion,MAHOU C,No specified,33 cl,12,Not image,Eroski
7.75,0.97,"Cerveza MAHOU 5 Estrellas, pack 24x33 cl","13,59 € Antes",MAHOU 5 E,No specified,33 cl,24,Not image,Eroski
5.31,1.76,"Cerveza SAN MIGUEL, pack botellín 12x25 cl",2ª unidad -50%,SAN MIGUEL,No specified,25 cl,12,Not image,Eroski
0.66,2.0,"Cerveza 0,0 tostada MAHOU, lata 33 cl",No promotion, MAHOU,lata,33 cl,1,Not image,Eroski
4.82,3.67,"Cerveza Reserva 1925 ALHAMBRA, pack 4x33 cl",No promotion, 1925 ALHAMBRA,No specified,33 cl,4,Not image,Eroski
6.61,2.2,"Cerveza MAHOU 5 Estrellas, pack botellín 12x25 cl",No promotion,MAHOU 5 E,No specified,25 cl,12,Not image,Eroski
10.32,1.72,"Cerveza SAN MIGUEL, pack botellín 24x25 cl",No promotion,SAN MIGUEL,No specified,25 cl,24,Not image,Eroski
6.42,1.64,"Cerveza ALHAMBRA Tradición, pack lata 12x33 cl",No promotion,ALHAMBRA T,lata,33 cl,12,Not image,Eroski
0.68,2.06,"Cerveza MAHOU 5 Estrellas, lata 33 cl",No promotion,MAHOU 5 E,lata,33 cl,1,Not image,Eroski
7.92,2.0,"Cerveza MAHOU 5 Estrellas, pack lata 12x33 cl",No promotion,MAHOU 5 E,lata,33 cl,12,Not image,Eroski
0.56,1.7,"Cerveza SAN MIGUEL, lata 33 cl",No promotion,SAN MIGUEL,lata,33 cl,1,Not image,Eroski
14.3,1.55,"Cerveza SAN MIGUEL, pack lata 28x33 cl",No promotion,SAN MIGUEL,lata,33 cl,28,Not image,Eroski
4.99,3.95,"Cerveza CORONITA, pack botellín 6x21 cl",No promotion,CORONITA,No specified,21 cl,6,Not image,Eroski
0.56,1.7,"Cerveza sin alcohol MAHOU, lata 33 cl",No promotion, MAHOU,lata,33 cl,1,Not image,Eroski
0.79,2.39,"Cerveza americana BUDWEISER, lata 33 cl",2ª unidad -50%, BUDWEISER,lata,33 cl,1,Not image,Eroski
1.32,3.72,"Cerveza mexicana CORONA, botellín 35.5 cl",No promotion, CORONA,No specified,35.5 cl,1,Not image,Eroski
0.56,1.7,"Cerveza sin alcohol 0,0 SAN MIGUEL, lata 33 cl",No promotion,0 SAN MIGUEL,lata,33 cl,1,Not image,Eroski
2.52,1.68,"Cerveza sin alcohol 0,0 SAN MIGUEL, pack botellín 6x25 cl",2ª unidad -50%,0 SAN MIGUEL,No specified,25 cl,6,Not image,Eroski
7.71,1.94,"Cerveza Especial ALHAMBRA, pack lata 12x33 cl",No promotion, ALHAMBRA,lata,33 cl,12,Not image,Eroski
